ballot,date,title,year
736,03/12/2013,le projet de loi relatif à la programmation militaire pour les années 2014 à 2019 et portant diverses dispositions concernant la défense et la sécurité nationale. [dossier] [analyse du scrutin],2013
735,03/12/2013,le projet de loi de financement de la sécurité sociale pour 2014 (lecture définitive). [dossier] [analyse du scrutin],2013
728,27/11/2013,l'ensemble du projet de loi de programmation pour la ville et la cohésion urbaine. [dossier] [analyse du scrutin],2013
725,26/11/2013,l'ensemble du projet de loi garantissant l'avenir et la justice du système de retraites (nouvelle lecture). [dossier] [analyse du scrutin],2013
724,26/11/2013,l'ensemble du projet de loi de financement de la sécurité sociale pour 2014 (nouvelle lecture). [dossier] [analyse du scrutin],2013
701,20/11/2013,le projet de loi interdisant le cumul de fonctions exécutives locales avec le mandat de représentant au Parlement européen. [dossier] [analyse du scrutin],2013
700,20/11/2013,le projet de loi organique interdisant le cumul de fonctions exécutives locales avec le mandat de député et limitant à une seule fonction exécutive locale le cumul avec le mandat de sénateur. [dossier] [analyse du scrutin],2013
697,19/11/2013,l'ensemble du projet de loi de finances pour 2014. [dossier] [analyse du scrutin],2013
686,05/11/2013,le projet de loi organique relatif au procureur de la République financier (lecture définitive). [dossier] [analyse du scrutin],2013
685,05/11/2013,l'ensemble du projet de loi relatif à la lutte contre la fraude fiscale et la grande délinquance économique et financière. [dossier] [analyse du scrutin],2013
677,29/10/2013,l'ensemble du projet de loi de financement de la sécurité sociale pour 2014. [dossier] [analyse du scrutin],2013
662,22/10/2013,l'ensemble de la première partie du projet de loi de finances pour 2014. [dossier] [analyse du scrutin],2013
646,15/10/2013,l'ensemble du projet de loi garantissant l'avenir et la justice du système de retraites. [dossier] [analyse du scrutin],2013
595,01/10/2013,l'ensemble de la proposition de loi visant à redonner des perspectives à l'économie réelle et à l'emploi industriel. [dossier] [analyse du scrutin],2013
594,17/09/2013,le projet de loi organique relatif à la transparence de la vie publique (lecture définitive) [dossier] [analyse du scrutin],2013
593,17/09/2013,l'ensemble du projet de loi relatif à la transparence de la vie publique [dossier] [analyse du scrutin],2013
592,17/09/2013,l'ensemble du projet de loi pour l'accès au logement et un urbanisme rénové [dossier] [analyse du scrutin],2013
589,23/07/2013,l'ensemble du projet de loi relatif à la transparence de la vie publique (nouvelle lecture). [dossier] [analyse du scrutin],2013
588,23/07/2013,l'ensemble du projet de loi organique relatif à la transparence de la vie publique (nouvelle lecture). [dossier] [analyse du scrutin],2013
587,23/07/2013,l'ensemble du projet de loi de modernisation de l'action publique territoriale et d'affirmation des métropoles. [dossier] [analyse du scrutin],2013
568,16/07/2013,l'ensemble de la proposition de loi tendant à modifier la loi n° 2011-814 du 7 juillet 2011 relative à la bioéthique en autorisant sous certaines conditions la recherche sur l'embryon et les cellules souches embryonnaires. [dossier] [analyse du scrutin],2013
559,09/07/2013,l'ensemble du projet de loi interdisant le cumul de fonctions exécutives locales avec le mandat de représentant au Parlement européen. [dossier] [analyse du scrutin],2013
