MP,Expected_Direct_Influence,Estimated_2_Waves_Influence_2,wave2se_2,Estimated_2_Waves_Influence_10,wave2se_10,Estimated_2_Waves_Influence_25,wave2se_25,Estimated_2_Waves_Influence_50,wave2se_50,Estimated_2_Waves_Influence_100,wave2se_100
Nicole Ameline,213.76984126984203,632.4,0.3521363372331801,612.9,0.3860051813123756,560.7,2.919075196016711,293.3,5.2840325509973916,259.6,1.6260381299342275
Noël Mamère,191.83333333333383,634.8,0.12649110640673517,622.6,0.5329165037789692,586.4,3.441511295927997,391.5,4.0230585379782875,337.6,2.4174366589426906
Odile Saugues,301.4603174603172,634.9,0.09486832980505139,626.9,0.26267851073127385,609.8,2.203633363334291,419.0,4.768647607026546,366.9,2.1838040205109976
Olivier Audibert Troin,216.71428571428663,632.8,0.4195235392680605,613.3,0.6935416353759881,555.3,3.7149697172386205,286.2,3.5151102400920515,257.0,2.521904042583698
Olivier Carré,197.8095238095244,632.4,0.4049691346263317,611.0,0.8124038404635959,529.8,10.050671619349623,282.1,1.4173919711921608,252.1,1.6878981011897605
Olivier Dassault,214.5952380952389,632.8,0.30983866769659335,611.7,1.000499875062461,550.7,7.083854882759811,282.7,2.1819715855161816,259.1,1.526106156202772
Olivier Dussopt,305.05555555555577,634.6,0.15491933384829668,627.1,0.2626785107312739,602.6,4.261924447946021,411.1,3.9861008517095997,368.1,1.6275748830699002
Olivier Falorni,267.01587301587244,634.4,0.25298221281347033,626.1,0.5558776843874919,590.3,5.688672955971366,392.2,1.1117553687749835,360.0,1.4899664425751338
Olivier Faure,291.26190476190453,634.7,0.20248456731316586,626.9,0.29832867780352595,590.0,8.532291603080616,402.7,3.4671313791086713,364.7,1.4425671561490645
Olivier Marleix,215.65079365079475,633.1,0.3591656999213594,613.5,0.5700877125495689,560.8,3.4432542746651746,291.0,7.677239087067694,262.9,2.027066846455735
Olivier Véran,213.46825396825344,634.6,0.15491933384829668,621.4,0.9818350166906862,474.2,9.401914698613256,368.8,1.776513439296196,333.3,1.4969969939849574
Paola Zanetti,302.047619047619,634.3,0.24698178070456936,627.6,0.20976176963403032,607.8,1.6419500601419033,408.5,2.55049014897137,370.3,1.3641847382227965
Pascal Cherki,225.4841269841264,634.4,0.15491933384829668,623.9,0.5375872022286245,520.2,8.922779835903158,378.8,1.5543487382180357,340.1,1.4103191128251786
Pascal Deguilhem,294.6349206349203,634.7,0.20248456731316586,627.0,0.3464101615137754,604.9,2.6774988328662253,404.5,2.8363709207365666,364.3,1.5430489298787642
Pascal Demarthe,120.55555555555584,632.6,0.5138093031466051,606.1,3.3270106702564086,394.8,6.564754374689125,340.2,2.907920218988134,117.4,2.923012145031217
