MP,party
Céleste Lett,LR
Le Vern,SER
Geneviève Levy,LR
Michel Liebgott,SER
Martine Lignières-Cassou,SER
Audrey Linkenheld,SER
François Loncle,SER
Gabrielle Louis-Carabin,SER
Lucette Lousteau,SER
Véronique Louwagie,LR
Monique Lubin,SER
Lionnel Luca,LR
Victorin Lurel,SER
Gilles Lurton,LR
Jean-Pierre Maggi,RRDP
Noël Mamère,NI
Jean-François Mancel,LR
Jacqueline Maquet,SER
Laurent Marcangeli,LR
Marie-Lou Marcel,SER
Maréchal-Le Pen,NI
Thierry Mariani,LR
Alfred Marie-Jeanne,GDR
Hervé Mariton,LR
Alain Marleix,LR
Olivier Marleix,LR
Franck Marlin,LR
Jean-René Marsac,SER
Alain Marsaud,LR
Philippe Martin,SER
Philippe Martin,LR
Martine Martinel,SER
Patrice Martin-Lalande,LR
Alain Marty,LR
Frédérique Massat,SER
Véronique Massonneau,SER
Jean-Claude Mathis,LR
Sandrine Mazetier,SER
de Mazières,LR
Michel Ménard,SER
Patrick Mennucci,SER
Gérard Menuel,LR
Damien Meslot,LR
Kléber Mesquida,SER
Philippe Meunier,LR
Jean-Claude Mignon,LR
Paul Molac,SER
Pierre Morange,LR
Yannick Moreau,LR
Pierre Morel-A-L'Huissier,LR
Hervé Morin,UDI
Alain Moyne-Bressand,LR
Pierre-Alain Muet,SER
Jacques Myard,LR
Dominique Nachury,LR
Philippe Naillet,SER
Philippe Nauche,SER
Yves Nicolin,LR
Nathalie Nieson,SER
Jean-Philippe Nilor,GDR
Philippe Noguès,NI
Robert Olive,SER
Maud Olivier,SER
Patrick Ollier,LR
Dominique Orliac,RRDP
Monique Orphé,SER
Michel Pajon,SER
Bertrand Pancher,UDI
Luce Pane,SER
George Pau-Langevin,SER
Christian Paul,SER
Rémi Pauvros,SER
Germinal Peiro,SER
Jacques Pélissard,LR
Hervé Pellois,SER
Jean-Claude Perez,SER
Stéphanie Pernod-Beaudon,LR
Bernard Perrut,LR
Édouard Philippe,LR
Sébastien Pietrasanta,SER
Sylvia Pinel,RRDP
Christine Pirès-Beaune,SER
Michel Piron,UDI
Philippe Plisson,SER
Élisabeth Pochon,SER
Jean-Frédéric Poisson,LR
Bérengère Poletti,LR
Napole Polutélé,SER
Axel Poniatowski,LR
Josette Pons,LR
Pascal Popelin,SER
Dominique Potier,SER
Michel Pouzol,SER
Régine Povéda,SER
Patrice Prat,NI
Christophe Priou,LR
Joaquim Pueyo,SER
François Pupponi,SER
Didier Quentin,LR
Catherine Quéré,SER
Valérie Rabault,SER
Monique Rabin,SER
Dominique Raimbourg,SER
Marie Récalde,SER
Frédéric Reiss,LR
Jean-Luc Reitzer,LR
Marie-Line Reynaud,SER
Bernard Reynès,LR
Franck Reynier,UDI
Pierre Ribeaud,SER
Arnaud Richard,UDI
Franck Riester,LR
Rihan Cypel,SER
Thierry Robert,RRDP
Denys Robiliard,SER
Arnaud Robinet,LR
Rocca Serra,LR
François Rochebloine,UDI
Alain Rodet,SER
Marcel Rogemont,SER
Sophie Rohfritsch,LR
Frédéric Roig,SER
Barbara Romagnan,SER
Bernard Roman,SER
Gwendal Rouillard,SER
Jean-Louis Roumégas,NI
René Rouquet,SER
Alain Rousset,SER
de Rugy,SER
Martial Saddier,LR
Maina Sage,UDI
Boinali Saïd,SER
Stéphane Saint-André,RRDP
Paul Salen,LR
Rudy Salles,UDI
Nicolas Sansu,GDR
Béatrice Santais,SER
André Santini,UDI
Éva Sas,NI
Odile Saugues,SER
François Sauvadet,UDI
Gilbert Sauvan,SER
Gilles Savary,SER
François Scellier,LR
Claudine Schmid,LR
André Schneider,LR
Roger-Gérard Schwartzenberg,RRDP
Gérard Sebaoun,SER
Jean-Marie Sermier,LR
Gabriel Serville,GDR
Fernand Siré,LR
Christophe Sirugue,SER
Thierry Solère,LR
Julie Sommaruga,SER
Michel Sordi,LR
Éric Straumann,LR
Claude Sturni,LR
Alain Suguenot,LR
Michèle Tabarot,LR
Jonas Tahuaitu,LR
Suzanne Tallard,SER
Lionel Tardy,LR
Jean-Charles Taugourdeau,LR
Guy Teissier,LR
Pascal Terrasse,SER
Michel Terrot,LR
Jean-Marie Tétart,LR
Pascal Thévenot,LR
Thomas Thévenoud,NI
Dominique Tian,LR
Sylvie Tolmont,SER
Jean-Louis Touraine,SER
Alain Tourret,RRDP
Stéphane Travert,SER
Catherine Troallic,SER
