;@xsi:type;uid[1];codeType[1];libelle[1];libelleEdition[1];libelleAbrege[1];libelleAbrev[1];viMoDe[1];viMoDe[1]/dateDebut[1];viMoDe[1]/dateAgrement[1];viMoDe[1]/dateFin[1];regimeJuridique[1];regime[1];legislature[1];secretariat[1];secretariat[1]/secretaire01[1];secretariat[1]/secretaire02[1];positionPolitique[1]
;OrganeExterne_Type;PO591210;MINISTERE;Ministère des outre-mer;Ministère des outre-mer;Outre-mer;OUT;;2012-05-17;;2012-06-18;;;;;;;
;OrganeExterne_Type;PO591204;MINISTERE;Ministère de l'agriculture et de l'agroalimentaire;Ministère de l'agriculture et de l'agroalimentaire;Agriculture et agroalimentaire;AGR;;2012-05-17;;2012-06-18;;;;;;;
;OrganeExterne_Type;PO591201;MINISTERE;Ministère des droits des femmes;Ministère des droits des femmes;Droits des femmes;FEMME;;2012-05-17;;2012-06-18;;;;;;;
;OrganeExterne_Type;PO591198;MINISTERE;Ministère de l'enseignement supérieur et de la recherche;Ministère de l'enseignement supérieur et de la recherche;Enseignement supérieur et recherche;ENS;;2012-05-17;;2012-06-18;;;;;;;
;OrganeExterne_Type;PO591192;MINISTERE;Ministère de la défense;Ministère de la défense;Défense;DEF;;2012-05-17;;2012-06-18;;;;;;;
;OrganeExterne_Type;PO591189;MINISTERE;Ministère du travail, de l'emploi, de la formation professionnelle et du dialogue social;Ministère du travail, de l'emploi, de la formation professionnelle et du dialogue social;Travail, emploi, formation professionnelle et dialogue social;TRE;;2012-05-17;;2012-06-18;;;;;;;
;OrganeExterne_Type;PO591232;MINISTERE;Ministère chargé des affaires européennes;Ministère chargé des affaires européennes;Affaires européennes;AEU;;2012-05-17;;2012-06-18;;;;;;;
;OrganeExterne_Type;PO591195;MINISTERE;Ministère de la culture et de la communication;Ministère de la culture et de la communication;Culture et communication;CUL;;2012-05-17;;2012-06-18;;;;;;;
;OrganeExterne_Type;PO591207;MINISTERE;Ministère de la réforme de l'État, de la décentralisation et de la fonction publique;Ministère de la réforme de l'État, de la décentralisation et de la fonction publique;Réforme de l'État, décentralisation et fonction publique;REF;;2012-05-17;;2012-06-18;;;;;;;
;OrganeExterne_Type;PO591220;MINISTERE;Ministère chargé de la réussite éducative;Ministère chargé de la réussite éducative;Réussite éducative;REU;;2012-05-17;;2012-06-18;;;;;;;
;OrganeExterne_Type;PO591223;MINISTERE;Ministère chargé des relations avec le Parlement;Ministère chargé des relations avec le Parlement;Relations avec le Parlement;PAR;;2012-05-17;;2012-06-18;;;;;;;
;OrganeParlementaire_Type;PO644420;ASSEMBLEE;Assemblée nationale de la 14ème législature;de l'Assemblée;Assemblée;AN;;2012-06-20;;2017-06-20;;5ème République;14;;;;
;OrganeExterne_Type;PO591244;MINISTERE;Ministère chargé de la famille;Ministère chargé de la famille;Famille;FAM;;2012-05-17;;2012-06-18;;;;;;;
;OrganeExterne_Type;PO591253;MINISTERE;Ministère chargé des transports et de l'économie maritime;Ministère chargé des transports et de l'économie maritime;Transports et économie maritime;TRA;;2012-05-17;;2012-06-18;;;;;;;
;OrganeExterne_Type;PO591259;MINISTERE;Ministère chargé des anciens combattants;chargé des anciens combattants;Anciens combattants;ACO;;2012-05-17;;2012-06-18;;;;;;;
;OrganeExterne_Type;PO591262;MINISTERE;Ministère chargé des personnes handicapées;Ministère chargé des personnes handicapées;Personnes handicapées;HAN;;2012-05-17;;2012-06-18;;;;;;;
;GroupePolitique_type;PO645633;GP;Non inscrit;des députés non inscrits;NI;NI;;2012-06-20;;2017-06-20;;5ème République;14;;;;
;OrganeExterne_Type;PO653199;GOUVERNEMENT;Gouvernement;du Gouvernement;AYRAULT 2;GVT;;2012-06-19;;2014-03-31;;;;;;;
;OrganeExterne_Type;PO591256;MINISTERE;Ministère chargé des petites et moyennes entreprises, de l'innovation et de l'économie numérique;Ministère chargé des petites et moyennes entreprises, de l'innovation et de l'économie numérique;Petites et moyennes entreprises, innovation et économie numérique;PIE;;2012-05-17;;2012-06-18;;;;;;;
;OrganeExterne_Type;PO591235;MINISTERE;Ministère chargé des personnes âgées et de la dépendance;Ministère chargé des personnes âgées et de la dépendance;Personnes âgées et dépendance;AGE;;2012-05-17;;2012-06-18;;;;;;;
;OrganeExterne_Type;PO591238;MINISTERE;Ministère chargé de l'artisanat, du commerce et du tourisme;Ministère chargé de l'artisanat, du commerce et du tourisme;Artisanat, commerce et tourisme;ACT;;2012-05-17;;2012-06-18;;;;;;;
;OrganeExterne_Type;PO591241;MINISTERE;Minstère chargé de l'économie sociale et solidaire;Minstère chargé de l'économie sociale et solidaire;Économie sociale et solidaire;SOL;;2012-05-17;;2012-06-18;;;;;;;
;OrganeExterne_Type;PO591250;MINISTERE;Ministère chargé des Français de l'étranger et de la francophonie;Ministère chargé des Français de l'étranger et de la francophonie;Français de l'étranger et francophonie;FET;;2012-05-17;;2012-06-18;;;;;;;
;OrganeExterne_Type;PO591247;MINISTERE;Ministère chargé du développement;Ministère chargé du développement;Développement;AED;;2012-05-17;;2012-06-18;;;;;;;
;OrganeExterne_Type;PO653259;MINISTERE;Ministère chargé de l'agroalimentaire;chargé de l'agroalimentaire;Agroalimentaire;ALI;;2012-06-22;;2014-03-31;;;;;;;
;OrganeExterne_Type;PO653256;MINISTERE;Ministère de l'agriculture, de l'agroalimentaire et de la forêt;de l'agriculture, de l'agroalimentaire et de la forêt;Agriculture, agroalimentaire et forêt;AGR;;2012-06-22;;2014-03-31;;;;;;;
;OrganeExterne_Type;PO653252;MINISTERE;Ministère des affaires sociales et de la santé;des affaires sociales et de la santé;Affaires sociales et santé;ASO;;2012-06-22;;2014-03-31;;;;;;;
;OrganeExterne_Type;PO653235;MINISTERE;Ministère chargé des affaires européennes;chargé des affaires européennes;Affaires européennes;AEU;;2012-06-22;;2013-03-19;;;;;;;
;OrganeExterne_Type;PO653230;MINISTERE;Ministère des affaires étrangères;des affaires étrangères;Affaires étrangères;AET;;2012-06-22;;2014-03-31;;;;;;;
;OrganeExterne_Type;PO653218;MINISTERE;Premier ministre;;Premier ministre;PMI;;2012-06-19;;2014-03-31;;;;;;;
;OrganeExterne_Type;PO653277;MINISTERE;Ministère chargé de la décentralisation;chargée de la décentralisation;Décentralisation;DEC;;2012-06-22;;2014-03-31;;;;;;;
;OrganeExterne_Type;PO653274;MINISTERE;Ministère de la culture et de la communication;de la culture et de la communication;Culture et communication;CUL;;2012-06-22;;2014-03-31;;;;;;;
;OrganeExterne_Type;PO653271;MINISTERE;Ministère du commerce extérieur;du commerce extérieur;Commerce extérieur;CEX;;2012-06-22;;2014-03-31;;;;;;;
;OrganeExterne_Type;PO653268;MINISTERE;Ministère chargé du budget;chargé du budget;Budget;BUD;;2012-06-22;;2013-03-19;;;;;;;
;OrganeExterne_Type;PO653265;MINISTERE;Ministère de l'artisanat, du commerce et du tourisme;de l'artisanat, du commerce et du tourisme;Artisanat, commerce et tourisme;ACT;;2012-06-22;;2014-03-31;;;;;;;
;OrganeParlementaire_Type;PO706057;CMP;Commission mixte paritaire chargée de proposer un  texte sur les dispositions restant en discussion de la proposition de loi visant à faciliter l'exercice, par les élus locaux, de leur mandat;de la proposition de loi visant à faciliter l'exercice, par les élus locaux, de leur mandat;Exercice de leur mandat par les élus locaux;120-12-13;;2015-01-28;;2015-03-19;;5ème République;14;;;;
;OrganeExterne_Type;PO653286;MINISTERE;Ministère des droits des femmes;des droits des femmes;Droits des femmes;FEM;;2012-06-22;;2014-03-31;;;;;;;
;OrganeExterne_Type;PO653283;MINISTERE;Ministère chargé du développement;chargé du développement;Développement;AED;;2012-06-22;;2014-03-31;;;;;;;
;OrganeExterne_Type;PO653302;MINISTERE;Ministère de l'égalité des territoires et du logement;de l'égalité des territoires et du logement;Égalité des territoires et logement;LOG;;2012-06-22;;2014-03-31;;;;;;;
;OrganeExterne_Type;PO653305;MINISTERE;Ministère de l'enseignement supérieur et de la recherche;de l'enseignement supérieur et de la recherche;Enseignement supérieur et recherche;ENS;;2012-06-22;;2014-03-31;;;;;;;
;OrganeExterne_Type;PO653280;MINISTERE;Ministère de la défense;de la défense;Défense;DEF;;2012-06-22;;2014-03-31;;;;;;;
;OrganeExterne_Type;PO653299;MINISTERE;Ministère de l'éducation nationale;de l'éducation nationale;Éducation nationale;EDU;;2012-06-22;;2014-03-31;;;;;;;
;OrganeExterne_Type;PO653293;MINISTERE;Ministère de l'économie et des finances;de l'économie et des finances;Économie et finances;ECO;;2012-06-22;;2014-03-31;;;;;;;
;OrganeExterne_Type;PO653296;MINISTERE;Ministère chargé de l'économie sociale et solidaire et de la consommation;chargé de l'économie sociale et solidaire et de la consommation;Économie sociale et solidaire et consommation;SOL;;2012-06-22;;2014-03-31;;;;;;;
;OrganeExterne_Type;PO653308;MINISTERE;Ministère chargé de la famille;chargée de la famille;Famille;FAM;;2012-06-22;;2014-03-31;;;;;;;
;OrganeExterne_Type;PO653311;MINISTERE;Ministère chargé de la formation professionnelle et de l'apprentissage;chargé de la formation professionnelle et de l'apprentissage;Formation professionnelle et apprentissage;FPA;;2012-06-22;;2013-03-19;;;;;;;
;OrganeExterne_Type;PO653290;MINISTERE;Ministère de l'écologie, du développement durable et de l'énergie;de l'écologie, du développement durable et de l'énergie;Écologie, développement durable et énergie;EDD;;2012-06-22;;2013-07-02;;;;;;;
;OrganeExterne_Type;PO653335;MINISTERE;Ministère chargé des PME, de l'innovation et de l'économie numérique;chargée des petites et moyennes entreprises, de l'innovation et de l'économie numérique;PME, innovation et économie numérique;PIE;;2012-06-22;;2014-03-31;;;;;;;
;OrganeExterne_Type;PO653338;MINISTERE;Ministère du redressement productif;du redressement productif;Redressement productif;REP;;2012-06-22;;2014-03-31;;;;;;;
;OrganeExterne_Type;PO653329;MINISTERE;Ministère chargé des personnes âgées et de l'autonomie;chargée des personnes âgées et de l'autonomie;Personnes âgées et autonomie;AGE;;2012-06-22;;2014-03-31;;;;;;;
